,pessoa_id,pessoa_idade,salario_ano,propriedade_sit,ano_trabalhado,motivo_emprestimo,pontuacao_emprestimos,vl_total,tx_juros,inadimplencia,tx_renda_divida,hst_inadimplencia,hst_primeiro_credito
27,0DmXJAaM-fOwZ,25.0,120000.0,3,9.0,5,3,4800.0,14.22,0.0,0.04,0.0,4
28,3vTFYtjn-Z8O8,23.0,75000.0,1,5.0,5,1,6400.0,5.42,0.0,0.09,0.0,3
29,4j1jpUg2-LuUf,25.0,39900.0,3,8.0,3,2,12000.0,9.88,0.0,0.3,0.0,4
31,1SiDLMTc-8xfw,26.0,45000.0,3,10.0,1,1,15000.0,7.29,1.0,0.33,0.0,4
32,0wd2vduY-UeOc,35.0,58788.0,1,8.0,1,2,2200.0,11.99,0.0,0.04,0.0,6
33,0Gs3vgRu-if2J,35.0,30000.0,1,2.0,3,1,3300.0,5.99,0.0,0.11,0.0,6
34,0PXUdtSf-Hxeu,27.0,42000.0,3,1.0,2,2,5000.0,10.99,0.0,0.12,0.0,10
35,33GERWgu-TcBD,34.0,38000.0,2,1.0,6,1,10000.0,8.94,0.0,0.26,0.0,9
37,0SEFcvu7-9uHx,32.0,131000.0,1,2.0,1,2,11200.0,10.25,0.0,0.09,0.0,5
38,5eWIjDJ2-kbEw,43.0,49578.0,1,11.0,2,3,16000.0,13.49,0.0,0.32,1.0,13
39,0YAC9XEL-iI8B,47.0,54996.0,1,7.0,4,2,9000.0,10.38,0.0,0.16,0.0,16
40,0KGPou9z-0CmC,32.0,53000.0,3,0.0,1,2,5700.0,9.99,0.0,0.11,0.0,9
41,4A9f476v-cgKc,24.0,135000.0,3,6.0,4,2,14400.0,12.69,0.0,0.11,0.0,4
42,27yc21lz-GvUj,30.0,98000.0,1,8.0,5,1,3500.0,7.68,0.0,0.04,0.0,10
43,13FiDSjK-XGfw,22.0,70000.0,1,4.0,5,2,13750.0,10.75,0.0,0.2,0.0,3
46,38g2Wqak-9eUK,24.0,48000.0,1,7.0,4,1,12000.0,7.29,0.0,0.25,0.0,3
47,4yH8p8Y6-7iqE,54.0,79864.0,1,5.0,2,2,1800.0,9.88,0.0,0.02,0.0,21
48,4h34HthF-gkcY,24.0,30000.0,3,8.0,4,2,8000.0,9.25,0.0,0.27,0.0,2
49,58iUROYZ-sC0w,24.0,61000.0,1,7.0,2,4,3000.0,15.62,0.0,0.05,0.0,3
50,5Fs8cHw2-0Tsn,23.0,55000.0,3,2.0,4,2,10800.0,8.88,0.0,0.2,0.0,2
51,0w24F0xp-QIl0,21.0,12120.0,3,0.0,1,1,3600.0,8.32,1.0,0.3,0.0,2
52,317taF9b-FQtX,25.0,51684.0,1,9.0,2,4,4000.0,15.99,0.0,0.08,0.0,4
53,05o7RxO7-9LhQ,23.0,65000.0,3,2.0,1,2,3600.0,11.49,0.0,0.06,0.0,2
54,4j1ek9Gv-jwKL,32.0,45000.0,1,7.0,3,1,4000.0,7.49,0.0,0.09,0.0,5
56,1DNNPY2K-UCJ9,26.0,55000.0,1,10.0,5,3,2800.0,13.49,0.0,0.05,0.0,2
57,26b8sI1W-keYc,48.0,66000.0,3,6.0,5,2,6000.0,11.89,0.0,0.09,0.0,11
58,17wmHS2G-QhEB,37.0,50000.0,3,0.0,5,2,5000.0,11.89,0.0,0.1,0.0,12
59,2tzwXmPo-alrd,22.0,62000.0,1,2.0,3,1,10000.0,5.99,0.0,0.16,0.0,4
60,2B1BF9y3-nSZL,23.0,70550.0,3,3.0,4,6,25000.0,19.04,1.0,0.3,1.0,4
61,4DmszJnS-56f4,30.0,200000.0,1,0.0,4,1,10000.0,8.59,0.0,0.05,0.0,10
62,1PycETDW-geLt,35.0,83234.0,1,19.0,1,4,10000.0,18.25,1.0,0.12,1.0,9
63,44HkrR3v-PUCy,48.0,185000.0,1,2.0,5,6,10000.0,20.62,0.0,0.05,0.0,14
64,2RULvlka-c0Ej,21.0,12000.0,3,3.0,3,2,1600.0,10.59,1.0,0.13,0.0,2
66,05AU2u3q-jNEJ,25.0,45000.0,3,0.0,5,3,10000.0,12.98,0.0,0.22,1.0,2
68,4m1KNiK0-1Jn4,38.0,64800.0,3,15.0,2,2,7500.0,9.63,0.0,0.12,0.0,11
69,4MfOGFC3-edQW,40.0,148350.0,1,11.0,5,1,5000.0,6.03,0.0,0.03,0.0,11
70,5BSlRMwy-yQmp,40.0,35000.0,1,6.0,5,2,5600.0,10.65,0.0,0.16,0.0,13
72,0Fw9Bfp0-lEsG,22.0,95000.0,1,1.0,5,3,7200.0,12.23,0.0,0.08,1.0,4
73,35c6YwNB-Zjf6,33.0,40000.0,3,15.0,3,2,15000.0,9.88,1.0,0.38,0.0,9
75,0AeYhoxq-8yCK,24.0,40944.0,3,0.0,4,2,8200.0,11.36,0.0,0.2,0.0,4
76,4OBhXxJK-Tj9n,23.0,160000.0,1,5.0,5,1,35000.0,7.66,0.0,0.22,0.0,3
77,2XyUzvdj-TMZ3,28.0,108000.0,1,6.0,2,2,27400.0,10.99,0.0,0.25,0.0,8
78,20qzekPx-OU9z,25.0,115000.0,1,4.0,5,3,25000.0,12.53,0.0,0.22,1.0,4
79,14IZUNkb-6IsY,34.0,67000.0,3,7.0,3,2,20000.0,11.71,0.0,0.3,0.0,9
80,2vkNsUW1-UNa6,28.0,56052.0,3,8.0,5,3,7200.0,11.28,0.0,0.13,1.0,8
81,4f93Giww-JgUb,34.0,45000.0,3,7.0,4,1,1500.0,5.99,0.0,0.03,0.0,10
82,3foc3Z0h-3U4h,27.0,37000.0,3,11.0,4,1,14700.0,5.99,1.0,0.4,0.0,9
83,4SuZySjt-GsBO,29.0,42000.0,1,2.0,6,3,1200.0,12.98,1.0,0.03,0.0,10
84,0RMANZYs-Jjgc,29.0,99000.0,1,1.0,2,2,6000.0,10.25,0.0,0.06,0.0,6
86,1Wyow9dr-ytm4,26.0,125000.0,3,10.0,4,2,3000.0,12.21,0.0,0.02,0.0,4
89,1c7sSZL6-xbj3,24.0,53295.0,3,3.0,4,4,19600.0,16.07,1.0,0.31,0.0,3
93,095kmLry-GPTX,22.0,64000.0,3,6.0,3,1,7000.0,5.79,0.0,0.11,0.0,3
94,4eED383D-kPn4,25.0,109000.0,1,9.0,5,1,12000.0,7.51,0.0,0.11,0.0,4
95,4fqKD49g-EnlT,27.0,48000.0,3,2.0,2,3,25000.0,10.59,1.0,0.52,0.0,7
96,3Zj5Z367-CtBG,25.0,70000.0,3,4.0,2,3,8000.0,15.96,0.0,0.11,1.0,3
97,4qtn41LL-d7sH,38.0,50000.0,1,6.0,2,4,3000.0,15.05,0.0,0.06,0.0,12
98,0POZyPIf-rqOB,25.0,80000.0,1,7.0,6,1,6000.0,7.9,0.0,0.07,0.0,3
99,3FUSfBXN-Qjlc,25.0,42000.0,3,4.0,3,1,1925.0,6.17,0.0,0.05,0.0,4
100,4QEelDQK-SxWb,22.0,46500.0,1,1.0,3,2,4000.0,10.62,0.0,0.09,0.0,3
101,0eErRc45-AUk2,24.0,29000.0,1,1.0,4,4,6000.0,15.62,1.0,0.21,0.0,3
102,4n48oaun-TZ8m,26.0,55000.0,1,6.0,2,2,3775.0,11.71,0.0,0.07,0.0,3
104,3GsfExGR-9pEI,21.0,34500.0,3,2.0,6,4,11500.0,15.31,1.0,0.33,0.0,2
105,337pZ5RC-prNH,22.0,27996.0,1,4.0,4,4,3250.0,15.21,1.0,0.12,0.0,2
106,1KJoDUpB-SPNK,25.0,36400.0,3,2.0,2,2,18200.0,9.91,1.0,0.5,0.0,4
107,0c3DUzPc-dDzm,23.0,24000.0,3,0.0,6,3,5000.0,14.27,1.0,0.21,1.0,2
109,23oBzcg5-ZiMd,41.0,66000.0,1,20.0,5,1,10000.0,6.62,0.0,0.15,0.0,12
110,101Pgr6f-g4Zq,23.0,80004.0,1,2.0,5,2,19000.0,10.62,0.0,0.24,0.0,2
111,5GMNFbps-hqM3,25.0,84000.0,3,0.0,6,2,4500.0,12.18,0.0,0.05,0.0,2
112,2yXd5d4F-ze3a,27.0,62000.0,1,2.0,6,1,5000.0,5.42,0.0,0.08,0.0,5
113,2U1ujpw6-g05s,26.0,107900.0,1,10.0,4,1,16500.0,8.94,0.0,0.15,0.0,3
114,0hKE8Jlk-q1KX,27.0,157500.0,2,6.0,4,3,25000.0,12.87,0.0,0.16,1.0,6
115,2Ig9vghv-WTxz,24.0,40000.0,3,3.0,1,1,4000.0,5.42,0.0,0.1,0.0,2
116,4HPDPl8n-LJpm,37.0,93000.0,1,2.0,5,2,18000.0,12.18,0.0,0.19,0.0,11
117,2deqBlvq-3Lts,22.0,57500.0,3,1.0,1,2,9100.0,11.49,0.0,0.16,0.0,4
119,2724922Q-sYee,32.0,86800.0,1,6.0,6,1,2800.0,7.88,0.0,0.03,0.0,9
120,1398gC4Q-LDCZ,23.0,30000.0,3,6.0,5,2,19750.0,11.14,1.0,0.66,0.0,4
123,0LbYksNP-ehpp,24.0,74337.0,3,8.0,2,2,16000.0,11.86,0.0,0.22,0.0,3
124,1xWb1IoI-1fg8,24.0,60000.0,1,7.0,5,2,15850.0,11.11,0.0,0.26,0.0,3
125,1l3BA4c5-JcPk,25.0,27048.0,4,9.0,4,4,8000.0,15.05,1.0,0.3,1.0,2
126,1FBWC8aU-9bpC,23.0,69996.0,1,7.0,5,1,3000.0,6.39,0.0,0.04,0.0,4
127,599IKz8T-ReKs,46.0,60000.0,3,12.0,1,2,11000.0,9.91,0.0,0.18,0.0,13
128,4aRjPqGj-pWIg,27.0,180000.0,1,2.0,4,3,8000.0,13.23,0.0,0.04,1.0,7
129,5FjJNNoM-I5Ig,21.0,33000.0,2,2.0,3,3,11000.0,13.11,0.0,0.33,1.0,3
130,5aWb9R9m-HHAC,25.0,80000.0,1,4.0,2,1,11000.0,6.62,0.0,0.14,0.0,3
132,3thyUJGL-uOfk,26.0,57600.0,3,10.0,6,1,10000.0,6.62,0.0,0.17,0.0,4
133,0ubol1kD-einN,21.0,71688.0,1,2.0,3,4,7500.0,13.17,0.0,0.1,1.0,4
134,1wbqWFvM-OaZT,32.0,22000.0,3,9.0,4,5,10000.0,18.39,1.0,0.45,1.0,6
136,0SasnNdX-AX9N,27.0,58000.0,3,3.0,5,2,13000.0,11.58,0.0,0.22,0.0,7
137,3PaOqdXl-Hqkz,23.0,47000.0,3,3.0,5,2,15000.0,11.48,1.0,0.32,0.0,4
138,0bWSLrM0-Ai6D,22.0,44000.0,1,4.0,3,2,10000.0,12.69,0.0,0.23,0.0,2
139,5dJ89N56-a1HJ,25.0,80000.0,1,9.0,5,1,12000.0,7.88,0.0,0.15,0.0,3
140,45DCeYYY-qroU,34.0,90000.0,3,0.0,3,2,13200.0,10.74,0.0,0.15,0.0,5
141,5foPsoaY-RS45,33.0,26400.0,3,3.0,4,2,1000.0,10.99,0.0,0.04,0.0,7
142,1rSQgRFA-dhmU,25.0,150000.0,1,9.0,4,3,20000.0,14.65,0.0,0.13,1.0,4
143,1gHocgzS-D3rD,27.0,46000.0,3,11.0,4,2,8000.0,11.36,0.0,0.17,0.0,8
144,2W34c6Qu-8Uez,25.0,75000.0,1,8.0,1,1,15000.0,9.63,0.0,0.2,0.0,3
145,4dBgF6pe-dP8Q,23.0,68500.0,1,7.0,5,3,4200.0,11.66,0.0,0.06,0.0,3
147,5673FmsX-qtc1,25.0,78996.0,3,9.0,3,1,4500.0,8.63,0.0,0.06,0.0,2
149,35WUtFsb-ga5S,24.0,46000.0,3,0.0,3,4,5975.0,14.46,1.0,0.13,1.0,2
150,1kyLwKow-mqqO,25.0,45600.0,3,3.0,4,4,12250.0,14.84,1.0,0.27,0.0,3
151,0woHpOII-B7tL,31.0,80000.0,1,5.0,5,1,6000.0,7.4,0.0,0.07,0.0,9
152,5ciWIE2u-jaan,22.0,23400.0,3,2.0,4,1,8000.0,8.59,1.0,0.34,0.0,2
153,3B2XUi2e-87qR,44.0,24000.0,2,5.0,3,4,5000.0,14.74,0.0,0.21,1.0,15
154,2jro1gON-0xdr,25.0,34000.0,1,2.0,6,3,5800.0,13.48,1.0,0.17,1.0,3
155,1xILu6aF-YRGr,22.0,75000.0,3,2.0,5,2,5000.0,10.99,0.0,0.07,0.0,2
156,2L5nUmdc-8H1a,44.0,35000.0,3,4.0,1,2,10825.0,10.65,1.0,0.31,0.0,12
157,1ZmQ8qlQ-YhW7,23.0,114000.0,1,1.0,3,2,17325.0,11.99,0.0,0.15,0.0,2
158,1A3i6GNO-3KwP,27.0,41000.0,3,3.0,1,3,7000.0,12.73,0.0,0.17,1.0,5
159,0FIMaAm6-xFsK,28.0,50000.0,3,2.0,3,4,2000.0,16.89,1.0,0.04,0.0,5
160,1J1yrp7O-99YF,31.0,10000.0,3,15.0,1,1,2650.0,7.4,1.0,0.27,0.0,9
162,4jhlrqfz-uyqY,30.0,35000.0,3,5.0,4,2,10000.0,12.21,0.0,0.29,0.0,6
163,0krtbBYp-ArvB,39.0,80000.0,1,18.0,4,3,5600.0,13.43,0.0,0.07,0.0,17
165,0RvA5BaC-4m2g,24.0,86376.0,1,2.0,4,1,20000.0,7.29,0.0,0.23,0.0,3
166,0YNafDNb-CCc3,23.0,75000.0,3,3.0,5,1,2000.0,5.79,0.0,0.03,0.0,3
167,02x9biGh-3gTR,23.0,68000.0,3,1.0,5,5,14400.0,17.99,1.0,0.21,0.0,2
168,1LN0ZYwA-qIL1,33.0,124000.0,2,10.0,2,4,23500.0,14.96,0.0,0.19,1.0,6
169,21ilHdzB-iIcT,25.0,54000.0,3,5.0,2,2,5000.0,12.21,0.0,0.09,0.0,4
171,0Mj95J3r-3lR2,23.0,54000.0,1,7.0,2,1,2000.0,5.42,0.0,0.04,0.0,2
172,3M0BiiTH-5tzA,25.0,46116.0,1,9.0,1,3,10000.0,11.03,0.0,0.22,0.0,3
173,1jgsPcmz-AtYM,43.0,60000.0,1,27.0,6,2,10000.0,9.88,0.0,0.17,0.0,16
175,4v1KbQpB-sKFW,21.0,80000.0,1,5.0,3,1,12000.0,5.99,0.0,0.15,0.0,2
176,4NOpOmv8-tHaY,24.0,68000.0,3,0.0,5,1,10000.0,6.99,0.0,0.15,0.0,3
177,0QRFMn2h-q1pB,26.0,80004.0,1,7.0,1,3,7500.0,15.23,1.0,0.09,1.0,2
179,08rX5Qdc-ufb0,23.0,45312.0,3,3.0,3,1,13500.0,7.88,0.0,0.3,0.0,3
180,2NlqqIEW-QrQ1,34.0,103000.0,1,5.0,5,1,3525.0,5.42,0.0,0.03,0.0,8
181,1XxTfz1k-33E8,34.0,80000.0,1,5.0,2,1,12000.0,7.49,0.0,0.15,0.0,9
183,56nDqNWl-pmFS,24.0,35004.0,3,0.0,2,3,10000.0,12.84,0.0,0.29,1.0,4
184,0E5QkNLY-0nSw,37.0,60000.0,3,0.0,5,3,9700.0,13.61,0.0,0.16,1.0,11
186,4bvJRqfD-Mow1,26.0,65000.0,1,6.0,5,5,22000.0,17.19,0.0,0.34,0.0,2
188,1h0EDPrQ-0p2n,27.0,48100.0,1,1.0,5,2,20000.0,11.89,0.0,0.42,0.0,10
190,1N8BlWIH-XdiI,29.0,50400.0,3,6.0,1,1,7000.0,6.17,0.0,0.14,0.0,8
191,0AR1pUY8-WyvR,28.0,33000.0,3,3.0,1,1,13000.0,7.9,1.0,0.39,0.0,6
192,3thgc3J0-pK4m,30.0,75000.0,3,5.0,6,2,22000.0,10.62,0.0,0.29,0.0,10
193,03htSZqN-Wf9Y,23.0,37344.0,1,0.0,3,3,3200.0,12.68,0.0,0.09,0.0,4
194,5GRAZ2ps-80dv,25.0,56000.0,3,1.0,6,2,6000.0,10.74,0.0,0.11,0.0,2
195,2ebYikdX-Na9z,30.0,45000.0,3,0.0,4,2,8500.0,11.89,0.0,0.19,0.0,7
197,1I6g9Yem-zX0l,33.0,55000.0,3,5.0,2,1,3600.0,6.99,0.0,0.07,0.0,6
198,1UK65u9c-JzWc,28.0,86000.0,1,12.0,3,2,15000.0,10.62,0.0,0.17,0.0,10
199,2nkCctPB-7lwb,27.0,142000.0,3,2.0,4,3,5000.0,13.16,0.0,0.04,1.0,9
200,37M5vnQA-vN3X,40.0,14400.0,3,0.0,4,2,1000.0,9.25,0.0,0.07,0.0,11
202,1IeZPsfr-JF34,27.0,50000.0,3,0.0,3,1,8000.0,7.9,0.0,0.16,0.0,8
203,1MOsHXyM-4Kzh,26.0,101000.0,1,10.0,5,6,25000.0,17.46,1.0,0.25,0.0,4
204,2K9hiwdm-KRlZ,27.0,42000.0,1,2.0,5,3,20000.0,12.84,0.0,0.48,1.0,7
206,06Nv331q-J1jv,51.0,667680.0,1,19.0,2,3,10000.0,13.98,0.0,0.01,1.0,22
207,3nRhlR8i-oOAS,52.0,25000.0,3,23.0,4,4,5000.0,12.61,1.0,0.2,1.0,22
208,1fqfZF08-zEhM,24.0,71151.0,3,6.0,5,1,12000.0,6.62,0.0,0.17,0.0,4
209,4qYrqJ1x-BwOQ,22.0,61000.0,1,6.0,3,1,2100.0,6.62,0.0,0.03,0.0,3
210,22LMbN7Q-mwHw,30.0,100000.0,1,11.0,3,1,12800.0,6.92,0.0,0.13,0.0,8
211,2TUqxzpr-YG2y,32.0,44000.0,1,8.0,4,1,3600.0,6.99,0.0,0.08,0.0,8
212,1ncN23wi-XU46,33.0,190000.0,1,10.0,6,4,20000.0,14.11,0.0,0.11,0.0,10
213,40vvCHjg-0YaE,22.0,20640.0,3,0.0,3,3,2500.0,12.68,0.0,0.12,0.0,3
214,0AMtXPyt-J5Kj,32.0,42000.0,3,4.0,4,1,3000.0,7.49,0.0,0.07,0.0,10
215,1RARUSIg-zXJy,27.0,82000.0,1,11.0,5,1,4000.0,7.9,0.0,0.05,0.0,10
216,38mZuJnx-h9xx,26.0,62500.0,3,7.0,4,3,12000.0,12.23,0.0,0.19,1.0,4
217,5Gb6YgDt-hd9E,25.0,73000.0,3,1.0,5,1,10000.0,7.88,0.0,0.14,0.0,4
218,0CCXRgj8-nLTO,24.0,81000.0,1,0.0,1,2,15000.0,12.18,0.0,0.19,0.0,4
219,56egmpoj-LiGI,28.0,85000.0,1,3.0,1,2,20000.0,9.62,0.0,0.24,0.0,5
220,1NPt8W4z-0gs8,23.0,21000.0,3,6.0,3,1,7500.0,6.91,1.0,0.36,0.0,2
221,2qGyeyKT-w2Jl,37.0,43000.0,3,0.0,4,2,8000.0,11.49,0.0,0.19,0.0,13
222,0ed25Xr0-1HoY,29.0,26400.0,1,7.0,4,1,4800.0,7.66,0.0,0.18,0.0,9
223,11AQ6WU8-zX72,24.0,73000.0,3,6.0,1,4,12500.0,6.0,1.0,0.17,0.0,2
224,3xNu90pQ-LQw0,25.0,80000.0,3,8.0,1,4,5000.0,14.96,1.0,0.06,1.0,4
225,0cs93Rjn-Fgdr,25.0,50000.0,1,9.0,1,1,18000.0,7.88,0.0,0.36,0.0,4
226,3QW9cgOB-j6Hp,22.0,60000.0,3,6.0,5,4,7800.0,15.21,0.0,0.13,0.0,4
227,2hhXZszT-lXsk,27.0,38000.0,1,3.0,5,2,4500.0,9.99,0.0,0.12,0.0,7
228,4U23bU8n-1ca9,51.0,153000.0,3,2.0,2,4,25000.0,15.58,1.0,0.16,0.0,23
231,3PXuy95n-Zghb,23.0,30000.0,3,7.0,2,3,5000.0,14.17,1.0,0.17,1.0,3
232,1MrJNLzb-f0L4,22.0,24240.0,3,3.0,5,2,3500.0,9.99,0.0,0.14,0.0,3
233,33MnoQta-BqmP,26.0,34988.0,3,9.0,6,3,15000.0,13.98,1.0,0.43,0.0,2
234,21MwcQBw-zHOx,27.0,170496.0,1,3.0,1,2,15000.0,11.83,1.0,0.09,0.0,10
235,0mOs9gAp-ok0A,26.0,92700.0,1,6.0,3,2,1500.0,9.63,0.0,0.02,0.0,2
237,2p6lMMcU-8LlM,30.0,155000.0,3,9.0,4,1,6000.0,7.14,0.0,0.04,0.0,8
238,1nHTLcST-GeQE,33.0,74520.0,3,4.0,6,4,10000.0,16.89,0.0,0.13,0.0,10
239,3PJHa2Ww-kdsN,26.0,30000.0,3,1.0,4,5,6000.0,15.45,1.0,0.2,0.0,4
240,1yr7jDZ7-ZlUb,23.0,95000.0,1,4.0,4,1,4400.0,7.9,0.0,0.05,0.0,3
241,45e29Xeh-WeqA,27.0,26000.0,3,6.0,4,2,4000.0,10.25,0.0,0.15,0.0,10
242,12kEmaJF-k2fU,21.0,34800.0,3,3.0,4,2,2000.0,11.71,0.0,0.06,0.0,3
243,4dM10HX0-ugmu,32.0,65000.0,1,16.0,1,1,5500.0,7.51,0.0,0.08,0.0,7
244,20qggE2m-CFBQ,24.0,90000.0,1,0.0,1,3,8000.0,12.99,0.0,0.09,0.0,2
245,20tWiDi9-0L3P,27.0,84000.0,3,0.0,5,4,2500.0,14.59,1.0,0.03,0.0,9
246,2rBqAQ4G-OaJU,25.0,30000.0,1,9.0,5,1,5000.0,6.03,0.0,0.17,0.0,3
247,2udi7OBU-BbbM,22.0,48000.0,1,0.0,2,2,2800.0,12.53,0.0,0.06,0.0,2
248,1bIKBF32-tufb,23.0,42000.0,2,7.0,3,2,4400.0,11.89,0.0,0.1,0.0,4
249,3Nc47pRD-sOoq,21.0,45000.0,3,3.0,2,2,10000.0,10.25,0.0,0.22,0.0,2
250,0HN03dqk-bfjw,25.0,23000.0,3,0.0,3,3,2100.0,13.48,0.0,0.09,1.0,4
251,32l2T460-mTvw,30.0,119700.0,1,2.0,6,1,9500.0,8.94,0.0,0.08,0.0,10
253,0tT43KAN-P6CD,27.0,52000.0,3,0.0,4,3,22950.0,13.49,1.0,0.44,0.0,10
254,5eGCE1Yi-j1SM,22.0,54000.0,1,6.0,6,3,12000.0,13.48,1.0,0.22,0.0,2
255,5cami8gq-avFI,25.0,49716.0,1,6.0,4,1,8000.0,9.32,0.0,0.16,0.0,2
256,0qywOpR7-riu2,29.0,60000.0,3,6.0,4,1,4200.0,8.63,0.0,0.07,0.0,10
257,0NUo1qwp-bP8D,23.0,32000.0,3,0.0,4,3,8500.0,13.16,0.0,0.27,1.0,4
258,5GG2Ympx-iB1F,28.0,36000.0,3,3.0,4,4,9600.0,14.61,1.0,0.27,1.0,10
259,2TICsx6X-eH9t,21.0,49000.0,3,2.0,2,4,16950.0,18.25,1.0,0.35,1.0,4
260,1ygokO6Y-YSo1,23.0,85000.0,1,7.0,3,1,4000.0,5.79,0.0,0.05,0.0,3
261,0rhZxxlW-axcC,26.0,44000.0,3,5.0,4,3,4600.0,13.99,1.0,0.1,0.0,3
262,0n07Qf8N-rYpu,35.0,44000.0,3,3.0,2,3,16000.0,13.99,1.0,0.36,1.0,8
263,1W4cm6By-3ASN,25.0,30000.0,2,9.0,1,5,1200.0,16.69,1.0,0.04,1.0,3
265,4sptksKi-Gq2Y,24.0,40000.0,1,6.0,5,2,10000.0,9.91,0.0,0.25,0.0,3
266,3kvpFmoz-xvfQ,37.0,39000.0,3,5.0,2,2,15000.0,10.96,1.0,0.38,0.0,12
267,0Z1dFZ7t-2fiG,23.0,110000.0,3,3.0,3,2,20000.0,12.42,0.0,0.18,0.0,3
268,4aNH1p6C-DiLu,25.0,57000.0,3,0.0,3,3,15000.0,13.85,0.0,0.26,0.0,4
269,0MC0E0qu-YHYt,35.0,130000.0,1,15.0,6,3,7000.0,13.98,0.0,0.05,1.0,5
270,210DQwr5-jg58,31.0,50000.0,3,1.0,5,2,10000.0,10.71,0.0,0.2,0.0,6
272,4761JqjR-jWHQ,22.0,75000.0,1,6.0,3,3,16000.0,13.61,0.0,0.21,0.0,2
273,1sPDO4Wp-iuA5,33.0,42996.0,3,2.0,5,1,8200.0,7.88,0.0,0.19,0.0,9
274,2ZLQGcsN-MnpC,22.0,52000.0,1,0.0,1,1,3000.0,7.05,0.0,0.06,0.0,2
275,04039kHJ-uCxY,24.0,30000.0,3,5.0,3,1,4800.0,6.99,0.0,0.16,0.0,4
276,56vOIu8v-SeBF,31.0,45500.0,1,5.0,5,2,7500.0,11.49,0.0,0.16,0.0,5
278,0292naTF-ucWE,23.0,33990.0,1,2.0,1,3,1000.0,10.59,1.0,0.03,0.0,2
279,0zwkz2vB-BPwH,25.0,80000.0,1,2.0,3,2,22000.0,11.48,0.0,0.28,0.0,3
281,1OO3uPAf-a5JM,26.0,63096.0,1,1.0,6,1,4200.0,5.99,0.0,0.07,0.0,3
282,1nLG5Cqu-QK0K,30.0,73000.0,3,4.0,5,3,12000.0,14.26,1.0,0.16,1.0,5
283,5c61u2W2-lFBG,25.0,30720.0,3,2.0,6,3,11000.0,13.72,1.0,0.36,0.0,2
284,0CL0t22y-TO9g,24.0,31200.0,3,4.0,2,2,2725.0,10.74,0.0,0.09,0.0,2
