pessoa_idade;salario_ano;propriedade_sit;ano_trabalhado;motivo_emprestimo;pontuacao_emprestimos;vl_total;tx_juros;inadimplencia;hst_inadimplencia;hst_primeiro_credito;faixa_idade;faixa_emprestimo
34.0;45000.0;Alugada;7.0;Médico;A;1500.0;5.99;0.0;0.0;10;4;2
27.0;37000.0;Alugada;11.0;Médico;A;14700.0;5.99;1.0;0.0;9;3;29
29.0;42000.0;Hipotecada;2.0;Melhora do lar;C;1200.0;12.98;1.0;0.0;10;3;2
29.0;99000.0;Hipotecada;1.0;Pessoal;B;6000.0;10.25;0.0;0.0;6;3;11
26.0;125000.0;Alugada;10.0;Médico;B;3000.0;12.21;0.0;0.0;4;3;5
24.0;53295.0;Alugada;3.0;Médico;D;19600.0;16.07;1.0;0.0;3;2;39
22.0;64000.0;Alugada;6.0;Educativo;A;7000.0;5.79;0.0;0.0;3;2;13
25.0;109000.0;Hipotecada;9.0;Empreendimento;A;12000.0;7.51;0.0;0.0;4;2;23
27.0;48000.0;Alugada;2.0;Pessoal;C;25000.0;10.59;1.0;0.0;7;3;49
25.0;70000.0;Alugada;4.0;Pessoal;C;8000.0;15.96;0.0;1.0;3;2;15
38.0;50000.0;Hipotecada;6.0;Pessoal;D;3000.0;15.05;0.0;0.0;12;5;5
25.0;80000.0;Hipotecada;7.0;Melhora do lar;A;6000.0;7.9;0.0;0.0;3;2;11
25.0;42000.0;Alugada;4.0;Educativo;A;1925.0;6.17;0.0;0.0;4;2;3
22.0;46500.0;Hipotecada;1.0;Educativo;B;4000.0;10.62;0.0;0.0;3;2;7
24.0;29000.0;Hipotecada;1.0;Médico;D;6000.0;15.62;1.0;0.0;3;2;11
26.0;55000.0;Hipotecada;6.0;Pessoal;B;3775.0;11.71;0.0;0.0;3;3;7
21.0;34500.0;Alugada;2.0;Melhora do lar;D;11500.0;15.31;1.0;0.0;2;2;22
22.0;27996.0;Hipotecada;4.0;Médico;D;3250.0;15.21;1.0;0.0;2;2;6
25.0;36400.0;Alugada;2.0;Pessoal;B;18200.0;9.91;1.0;0.0;4;2;36
23.0;24000.0;Alugada;0.0;Melhora do lar;C;5000.0;14.27;1.0;1.0;2;2;9
41.0;66000.0;Hipotecada;20.0;Empreendimento;A;10000.0;6.62;0.0;0.0;12;6;19
23.0;80004.0;Hipotecada;2.0;Empreendimento;B;19000.0;10.62;0.0;0.0;2;2;37
25.0;84000.0;Alugada;0.0;Melhora do lar;B;4500.0;12.18;0.0;0.0;2;2;8
27.0;62000.0;Hipotecada;2.0;Melhora do lar;A;5000.0;5.42;0.0;0.0;5;3;9
26.0;107900.0;Hipotecada;10.0;Médico;A;16500.0;8.94;0.0;0.0;3;3;32
27.0;157500.0;Própria;6.0;Médico;C;25000.0;12.87;0.0;1.0;6;3;49
24.0;40000.0;Alugada;3.0;Pagamento de débitos;A;4000.0;5.42;0.0;0.0;2;2;7
37.0;93000.0;Hipotecada;2.0;Empreendimento;B;18000.0;12.18;0.0;0.0;11;5;35
22.0;57500.0;Alugada;1.0;Pagamento de débitos;B;9100.0;11.49;0.0;0.0;4;2;18
32.0;86800.0;Hipotecada;6.0;Melhora do lar;A;2800.0;7.88;0.0;0.0;9;4;5
23.0;30000.0;Alugada;6.0;Empreendimento;B;19750.0;11.14;1.0;0.0;4;2;39
24.0;74337.0;Alugada;8.0;Pessoal;B;16000.0;11.86;0.0;0.0;3;2;31
24.0;60000.0;Hipotecada;7.0;Empreendimento;B;15850.0;11.11;0.0;0.0;3;2;31
25.0;27048.0;Outros;9.0;Médico;D;8000.0;15.05;1.0;1.0;2;2;15
23.0;69996.0;Hipotecada;7.0;Empreendimento;A;3000.0;6.39;0.0;0.0;4;2;5
46.0;60000.0;Alugada;12.0;Pagamento de débitos;B;11000.0;9.91;0.0;0.0;13;7;21
27.0;180000.0;Hipotecada;2.0;Médico;C;8000.0;13.23;0.0;1.0;7;3;15
21.0;33000.0;Própria;2.0;Educativo;C;11000.0;13.11;0.0;1.0;3;2;21
25.0;80000.0;Hipotecada;4.0;Pessoal;A;11000.0;6.62;0.0;0.0;3;2;21
26.0;57600.0;Alugada;10.0;Melhora do lar;A;10000.0;6.62;0.0;0.0;4;3;19
21.0;71688.0;Hipotecada;2.0;Educativo;D;7500.0;13.17;0.0;1.0;4;2;14
32.0;22000.0;Alugada;9.0;Médico;E;10000.0;18.39;1.0;1.0;6;4;19
27.0;58000.0;Alugada;3.0;Empreendimento;B;13000.0;11.58;0.0;0.0;7;3;25
23.0;47000.0;Alugada;3.0;Empreendimento;B;15000.0;11.48;1.0;0.0;4;2;29
22.0;44000.0;Hipotecada;4.0;Educativo;B;10000.0;12.69;0.0;0.0;2;2;19
25.0;80000.0;Hipotecada;9.0;Empreendimento;A;12000.0;7.88;0.0;0.0;3;2;23
34.0;90000.0;Alugada;0.0;Educativo;B;13200.0;10.74;0.0;0.0;5;4;26
33.0;26400.0;Alugada;3.0;Médico;B;1000.0;10.99;0.0;0.0;7;4;1
25.0;150000.0;Hipotecada;9.0;Médico;C;20000.0;14.65;0.0;1.0;4;2;39
27.0;46000.0;Alugada;11.0;Médico;B;8000.0;11.36;0.0;0.0;8;3;15
25.0;75000.0;Hipotecada;8.0;Pagamento de débitos;A;15000.0;9.63;0.0;0.0;3;2;29
23.0;68500.0;Hipotecada;7.0;Empreendimento;C;4200.0;11.66;0.0;0.0;3;2;8
25.0;78996.0;Alugada;9.0;Educativo;A;4500.0;8.63;0.0;0.0;2;2;8
24.0;46000.0;Alugada;0.0;Educativo;D;5975.0;14.46;1.0;1.0;2;2;11
25.0;45600.0;Alugada;3.0;Médico;D;12250.0;14.84;1.0;0.0;3;2;24
31.0;80000.0;Hipotecada;5.0;Empreendimento;A;6000.0;7.4;0.0;0.0;9;4;11
22.0;23400.0;Alugada;2.0;Médico;A;8000.0;8.59;1.0;0.0;2;2;15
44.0;24000.0;Própria;5.0;Educativo;D;5000.0;14.74;0.0;1.0;15;6;9
25.0;34000.0;Hipotecada;2.0;Melhora do lar;C;5800.0;13.48;1.0;1.0;3;2;11
22.0;75000.0;Alugada;2.0;Empreendimento;B;5000.0;10.99;0.0;0.0;2;2;9
44.0;35000.0;Alugada;4.0;Pagamento de débitos;B;10825.0;10.65;1.0;0.0;12;6;21
23.0;114000.0;Hipotecada;1.0;Educativo;B;17325.0;11.99;0.0;0.0;2;2;34
27.0;41000.0;Alugada;3.0;Pagamento de débitos;C;7000.0;12.73;0.0;1.0;5;3;13
28.0;50000.0;Alugada;2.0;Educativo;D;2000.0;16.89;1.0;0.0;5;3;3
31.0;10000.0;Alugada;15.0;Pagamento de débitos;A;2650.0;7.4;1.0;0.0;9;4;5
29.0;92000.0;Hipotecada;8.0;Melhora do lar;;7000.0;9.99;0.0;0.0;3;3;13
30.0;35000.0;Alugada;5.0;Médico;B;10000.0;12.21;0.0;0.0;6;3;19
39.0;80000.0;Hipotecada;18.0;Médico;C;5600.0;13.43;0.0;0.0;17;5;11
24.0;86376.0;Hipotecada;2.0;Médico;A;20000.0;7.29;0.0;0.0;3;2;39
23.0;75000.0;Alugada;3.0;Empreendimento;A;2000.0;5.79;0.0;0.0;3;2;3
23.0;68000.0;Alugada;1.0;Empreendimento;E;14400.0;17.99;1.0;0.0;2;2;28
33.0;124000.0;Própria;10.0;Pessoal;D;23500.0;14.96;0.0;1.0;6;4;46
25.0;54000.0;Alugada;5.0;Pessoal;B;5000.0;12.21;0.0;0.0;4;2;9
23.0;54000.0;Hipotecada;7.0;Pessoal;A;2000.0;5.42;0.0;0.0;2;2;3
25.0;46116.0;Hipotecada;9.0;Pagamento de débitos;C;10000.0;11.03;0.0;0.0;3;2;19
43.0;60000.0;Hipotecada;27.0;Melhora do lar;B;10000.0;9.88;0.0;0.0;16;6;19
21.0;80000.0;Hipotecada;5.0;Educativo;A;12000.0;5.99;0.0;0.0;2;2;23
24.0;68000.0;Alugada;0.0;Empreendimento;A;10000.0;6.99;0.0;0.0;3;2;19
26.0;80004.0;Hipotecada;7.0;Pagamento de débitos;C;7500.0;15.23;1.0;1.0;2;3;14
23.0;45312.0;Alugada;3.0;Educativo;A;13500.0;7.88;0.0;0.0;3;2;26
34.0;103000.0;Hipotecada;5.0;Empreendimento;A;3525.0;5.42;0.0;0.0;8;4;7
34.0;80000.0;Hipotecada;5.0;Pessoal;A;12000.0;7.49;0.0;0.0;9;4;23
24.0;35004.0;Alugada;0.0;Pessoal;C;10000.0;12.84;0.0;1.0;4;2;19
37.0;60000.0;Alugada;0.0;Empreendimento;C;9700.0;13.61;0.0;1.0;11;5;19
26.0;65000.0;Hipotecada;6.0;Empreendimento;E;22000.0;17.19;0.0;0.0;2;3;43
27.0;48100.0;Hipotecada;1.0;Empreendimento;B;20000.0;11.89;0.0;0.0;10;3;39
29.0;50400.0;Alugada;6.0;Pagamento de débitos;A;7000.0;6.17;0.0;0.0;8;3;13
28.0;33000.0;Alugada;3.0;Pagamento de débitos;A;13000.0;7.9;1.0;0.0;6;3;25
30.0;75000.0;Alugada;5.0;Melhora do lar;B;22000.0;10.62;0.0;0.0;10;3;43
23.0;37344.0;Hipotecada;0.0;Educativo;C;3200.0;12.68;0.0;0.0;4;2;6
25.0;56000.0;Alugada;1.0;Melhora do lar;B;6000.0;10.74;0.0;0.0;2;2;11
30.0;45000.0;Alugada;0.0;Médico;B;8500.0;11.89;0.0;0.0;7;3;16
33.0;55000.0;Alugada;5.0;Pessoal;A;3600.0;6.99;0.0;0.0;6;4;7
28.0;86000.0;Hipotecada;12.0;Educativo;B;15000.0;10.62;0.0;0.0;10;3;29
27.0;142000.0;Alugada;2.0;Médico;C;5000.0;13.16;0.0;1.0;9;3;9
40.0;14400.0;Alugada;0.0;Médico;B;1000.0;9.25;0.0;0.0;11;5;1
27.0;50000.0;Alugada;0.0;Educativo;A;8000.0;7.9;0.0;0.0;8;3;15
26.0;101000.0;Hipotecada;10.0;Empreendimento;F;25000.0;17.46;1.0;0.0;4;3;49
27.0;42000.0;Hipotecada;2.0;Empreendimento;C;20000.0;12.84;0.0;1.0;7;3;39
51.0;667680.0;Hipotecada;19.0;Pessoal;C;10000.0;13.98;0.0;1.0;22;8;19
52.0;25000.0;Alugada;23.0;Médico;D;5000.0;12.61;1.0;1.0;22;8;9
24.0;71151.0;Alugada;6.0;Empreendimento;A;12000.0;6.62;0.0;0.0;4;2;23
22.0;61000.0;Hipotecada;6.0;Educativo;A;2100.0;6.62;0.0;0.0;3;2;4
30.0;100000.0;Hipotecada;11.0;Educativo;A;12800.0;6.92;0.0;0.0;8;3;25
32.0;44000.0;Hipotecada;8.0;Médico;A;3600.0;6.99;0.0;0.0;8;4;7
33.0;190000.0;Hipotecada;10.0;Melhora do lar;D;20000.0;14.11;0.0;0.0;10;4;39
22.0;20640.0;Alugada;0.0;Educativo;C;2500.0;12.68;0.0;0.0;3;2;4
32.0;42000.0;Alugada;4.0;Médico;A;3000.0;7.49;0.0;0.0;10;4;5
27.0;82000.0;Hipotecada;11.0;Empreendimento;A;4000.0;7.9;0.0;0.0;10;3;7
26.0;62500.0;Alugada;7.0;Médico;C;12000.0;12.23;0.0;1.0;4;3;23
25.0;73000.0;Alugada;1.0;Empreendimento;A;10000.0;7.88;0.0;0.0;4;2;19
24.0;81000.0;Hipotecada;0.0;Pagamento de débitos;B;15000.0;12.18;0.0;0.0;4;2;29
28.0;85000.0;Hipotecada;3.0;Pagamento de débitos;B;20000.0;9.62;0.0;0.0;5;3;39
23.0;21000.0;Alugada;6.0;Educativo;A;7500.0;6.91;1.0;0.0;2;2;14
37.0;43000.0;Alugada;0.0;Médico;B;8000.0;11.49;0.0;0.0;13;5;15
29.0;26400.0;Hipotecada;7.0;Médico;A;4800.0;7.66;0.0;0.0;9;3;9
24.0;73000.0;Alugada;6.0;Pagamento de débitos;D;12500.0;6.0;1.0;0.0;2;2;24
25.0;80000.0;Alugada;8.0;Pagamento de débitos;D;5000.0;14.96;1.0;1.0;4;2;9
25.0;50000.0;Hipotecada;9.0;Pagamento de débitos;A;18000.0;7.88;0.0;0.0;4;2;35
22.0;60000.0;Alugada;6.0;Empreendimento;D;7800.0;15.21;0.0;0.0;4;2;15
27.0;38000.0;Hipotecada;3.0;Empreendimento;B;4500.0;9.99;0.0;0.0;7;3;8
51.0;153000.0;Alugada;2.0;Pessoal;D;25000.0;15.58;1.0;0.0;23;8;49
23.0;30000.0;Alugada;7.0;Pessoal;C;5000.0;14.17;1.0;1.0;3;2;9
22.0;24240.0;Alugada;3.0;Empreendimento;B;3500.0;9.99;0.0;0.0;3;2;6
26.0;34988.0;Alugada;9.0;Melhora do lar;C;15000.0;13.98;1.0;0.0;2;3;29
27.0;170496.0;Hipotecada;3.0;Pagamento de débitos;B;15000.0;11.83;1.0;0.0;10;3;29
26.0;92700.0;Hipotecada;6.0;Educativo;B;1500.0;9.63;0.0;0.0;2;3;2
30.0;155000.0;Alugada;9.0;Médico;A;6000.0;7.14;0.0;0.0;8;3;11
33.0;74520.0;Alugada;4.0;Melhora do lar;D;10000.0;16.89;0.0;0.0;10;4;19
26.0;30000.0;Alugada;1.0;Médico;E;6000.0;15.45;1.0;0.0;4;3;11
23.0;95000.0;Hipotecada;4.0;Médico;A;4400.0;7.9;0.0;0.0;3;2;8
27.0;26000.0;Alugada;6.0;Médico;B;4000.0;10.25;0.0;0.0;10;3;7
21.0;34800.0;Alugada;3.0;Médico;B;2000.0;11.71;0.0;0.0;3;2;3
32.0;65000.0;Hipotecada;16.0;Pagamento de débitos;A;5500.0;7.51;0.0;0.0;7;4;10
24.0;90000.0;Hipotecada;0.0;Pagamento de débitos;C;8000.0;12.99;0.0;0.0;2;2;15
27.0;84000.0;Alugada;0.0;Empreendimento;D;2500.0;14.59;1.0;0.0;9;3;4
25.0;30000.0;Hipotecada;9.0;Empreendimento;A;5000.0;6.03;0.0;0.0;3;2;9
22.0;48000.0;Hipotecada;0.0;Pessoal;B;2800.0;12.53;0.0;0.0;2;2;5
23.0;42000.0;Própria;7.0;Educativo;B;4400.0;11.89;0.0;0.0;4;2;8
21.0;45000.0;Alugada;3.0;Pessoal;B;10000.0;10.25;0.0;0.0;2;2;19
25.0;23000.0;Alugada;0.0;Educativo;C;2100.0;13.48;0.0;1.0;4;2;4
30.0;119700.0;Hipotecada;2.0;Melhora do lar;A;9500.0;8.94;0.0;0.0;10;3;18
27.0;52000.0;Alugada;0.0;Médico;C;22950.0;13.49;1.0;0.0;10;3;45
22.0;54000.0;Hipotecada;6.0;Melhora do lar;C;12000.0;13.48;1.0;0.0;2;2;23
25.0;49716.0;Hipotecada;6.0;Médico;A;8000.0;9.32;0.0;0.0;2;2;15
29.0;60000.0;Alugada;6.0;Médico;A;4200.0;8.63;0.0;0.0;10;3;8
23.0;32000.0;Alugada;0.0;Médico;C;8500.0;13.16;0.0;1.0;4;2;16
28.0;36000.0;Alugada;3.0;Médico;D;9600.0;14.61;1.0;1.0;10;3;19
21.0;49000.0;Alugada;2.0;Pessoal;D;16950.0;18.25;1.0;1.0;4;2;33
23.0;85000.0;Hipotecada;7.0;Educativo;A;4000.0;5.79;0.0;0.0;3;2;7
26.0;44000.0;Alugada;5.0;Médico;C;4600.0;13.99;1.0;0.0;3;3;9
35.0;44000.0;Alugada;3.0;Pessoal;C;16000.0;13.99;1.0;1.0;8;4;31
25.0;30000.0;Própria;9.0;Pagamento de débitos;E;1200.0;16.69;1.0;1.0;3;2;2
24.0;40000.0;Hipotecada;6.0;Empreendimento;B;10000.0;9.91;0.0;0.0;3;2;19
37.0;39000.0;Alugada;5.0;Pessoal;B;15000.0;10.96;1.0;0.0;12;5;29
23.0;110000.0;Alugada;3.0;Educativo;B;20000.0;12.42;0.0;0.0;3;2;39
25.0;57000.0;Alugada;0.0;Educativo;C;15000.0;13.85;0.0;0.0;4;2;29
35.0;130000.0;Hipotecada;15.0;Melhora do lar;C;7000.0;13.98;0.0;1.0;5;4;13
31.0;50000.0;Alugada;1.0;Empreendimento;B;10000.0;10.71;0.0;0.0;6;4;19
22.0;75000.0;Hipotecada;6.0;Educativo;C;16000.0;13.61;0.0;0.0;2;2;31
33.0;42996.0;Alugada;2.0;Empreendimento;A;8200.0;7.88;0.0;0.0;9;4;16
22.0;52000.0;Hipotecada;0.0;Pagamento de débitos;A;3000.0;7.05;0.0;0.0;2;2;5
24.0;30000.0;Alugada;5.0;Educativo;A;4800.0;6.99;0.0;0.0;4;2;9
31.0;45500.0;Hipotecada;5.0;Empreendimento;B;7500.0;11.49;0.0;0.0;5;4;14
32.0;53100.0;-;14.0;Médico;B;6000.0;5.42;0.0;0.0;4;4;11
23.0;33990.0;Hipotecada;2.0;Pagamento de débitos;C;1000.0;10.59;1.0;0.0;2;2;1
25.0;80000.0;Hipotecada;2.0;Educativo;B;22000.0;11.48;0.0;0.0;3;2;43
26.0;63096.0;Hipotecada;1.0;Melhora do lar;A;4200.0;5.99;0.0;0.0;3;3;8
30.0;73000.0;Alugada;4.0;Empreendimento;C;12000.0;14.26;1.0;1.0;5;3;23
25.0;30720.0;Alugada;2.0;Melhora do lar;C;11000.0;13.72;1.0;0.0;2;2;21
24.0;31200.0;Alugada;4.0;Pessoal;B;2725.0;10.74;0.0;0.0;2;2;5
27.0;103000.0;Hipotecada;8.0;Médico;A;8800.0;7.29;0.0;0.0;8;3;17
23.0;21000.0;Alugada;3.0;Pessoal;B;10000.0;12.21;1.0;0.0;4;2;19
24.0;25000.0;Alugada;3.0;Empreendimento;A;5000.0;7.14;0.0;0.0;2;2;9
30.0;210000.0;Hipotecada;2.0;Melhora do lar;C;24250.0;12.87;0.0;1.0;6;3;48
44.0;48000.0;Alugada;4.0;Médico;B;7500.0;11.49;0.0;0.0;15;6;14
22.0;48000.0;Hipotecada;6.0;Educativo;A;9925.0;9.63;0.0;0.0;2;2;19
24.0;43000.0;Alugada;9.0;Médico;A;18000.0;7.9;1.0;0.0;2;2;35
23.0;48600.0;Hipotecada;7.0;Pessoal;B;19000.0;11.36;0.0;0.0;4;2;37
23.0;62000.0;Alugada;7.0;Empreendimento;D;5500.0;17.49;0.0;0.0;3;2;10
23.0;38896.0;Alugada;2.0;Pessoal;C;7200.0;13.48;0.0;1.0;3;2;14
26.0;28000.0;Alugada;8.0;Educativo;D;6625.0;12.92;0.0;0.0;2;3;13
24.0;42000.0;Alugada;0.0;Médico;A;12000.0;7.66;0.0;0.0;2;2;23
24.0;14880.0;Alugada;2.0;Educativo;B;6000.0;10.0;1.0;0.0;3;2;11
24.0;75000.0;Alugada;4.0;Empreendimento;A;10000.0;6.62;0.0;0.0;2;2;19
26.0;55900.0;Hipotecada;5.0;Pessoal;C;18200.0;14.26;0.0;0.0;4;3;36
23.0;50000.0;Alugada;0.0;Educativo;A;4900.0;8.49;0.0;0.0;3;2;9
30.0;21600.0;Alugada;4.0;Empreendimento;B;5000.0;11.71;0.0;0.0;7;3;9
25.0;46144.0;Hipotecada;9.0;Educativo;A;1500.0;7.49;0.0;0.0;2;2;2
24.0;32000.0;Hipotecada;5.0;Melhora do lar;A;6000.0;5.42;0.0;0.0;4;2;11
22.0;78996.0;Alugada;1.0;Pagamento de débitos;D;12000.0;15.95;1.0;1.0;3;2;23
24.0;34300.0;Alugada;4.0;Médico;B;18500.0;10.71;1.0;0.0;2;2;36
24.0;79000.0;Alugada;0.0;Médico;B;8000.0;11.49;0.0;0.0;2;2;15
22.0;32004.0;Hipotecada;6.0;Educativo;A;10000.0;7.51;0.0;0.0;2;2;19
38.0;36400.0;Alugada;1.0;Pessoal;C;6000.0;12.87;0.0;1.0;17;5;11
27.0;35004.0;Alugada;7.0;Médico;B;5000.0;10.75;0.0;0.0;8;3;9
27.0;59147.0;Hipotecada;11.0;Médico;B;7000.0;11.26;0.0;0.0;5;3;13
26.0;21000.0;Própria;4.0;Educativo;C;8000.0;13.79;0.0;1.0;3;3;15
28.0;44000.0;Alugada;7.0;Pagamento de débitos;A;5000.0;5.42;0.0;0.0;7;3;9
31.0;138000.0;Hipotecada;0.0;Pessoal;A;35000.0;7.49;1.0;0.0;5;4;69
24.0;73440.0;Hipotecada;7.0;Educativo;A;7000.0;6.99;0.0;0.0;2;2;13
23.0;80000.0;Própria;7.0;Empreendimento;A;4000.0;5.99;0.0;0.0;4;2;7
25.0;113000.0;Alugada;8.0;Pagamento de débitos;B;14400.0;11.71;1.0;0.0;4;2;28
23.0;34662.0;Hipotecada;1.0;Melhora do lar;B;3000.0;10.75;1.0;0.0;4;2;5
23.0;61615.0;Hipotecada;4.0;Pessoal;B;13000.0;10.62;0.0;0.0;4;2;25
